id,availability,condition,title,color,description,image_link,link,price,sale_price,brand,google_product_category,InventoryStatus,IsHot,sellstart,schedule
MT1M9692CL22464,in stock,new,質感紋理縮腰洋裝,白,細緻紋理/後中有拉鍊/整件有內裡,https://pic.pzcdn.tw/pazzo/ProductBasic/0a8fd27f-dfda-4549-83f3-68b651d7cdde.jpg,https://www.pazzo.com.tw/market/n/9692?c=22464,790.00 TWD,790.00 TWD,PAZZO,1604,Y,N,2018-09-10,20180910
MT1M19869CL44582,in stock,new,PAZZO 品牌刺繡襪(三入),黑,LOGO 刺繡 / 中長襪版型 / 厚度試中適合一年四季穿著 / 同色三入一組,https://pic.pzcdn.tw/pazzo/ProductBasic/140ff713-3015-4b62-8d30-b5a0d912d3a2.jpg,https://www.pazzo.com.tw/market/n/19869?c=44582,520.00 TWD,520.00 TWD,PAZZO,1604,N,N,2024-03-24,店面限定
MT1M20739CL46654,in stock,new,經典俐落西裝外套,卡其綠,厚挺西裝面料/適合各種身型/後中開岔活動舒適/前左胸假口袋造型/兩側有袋蓋式口袋,https://pic.pzcdn.tw/pazzo/ProductBasic/1a09db2a-3139-4333-8844-e7bff49dd678.jpg,https://www.pazzo.com.tw/market/n/20739?c=46654,1390.00 TWD,1390.00 TWD,PAZZO,1604,N,N,2023-06-20,20230320
MT1M21690CL48879,in stock,new,MIT小高領羅紋長袖上衣,靛藍,MIT台灣製造/ 品牌自訂開發布料/ 舒適親膚羅紋布料/小高領造型,https://pic.pzcdn.tw/pazzo/ProductBasic/1ec62450-3229-44f9-9c24-359be783dfd3.jpg,https://www.pazzo.com.tw/market/n/21690?c=48879,590.00 TWD,399.00 TWD,PAZZO,1604,N,N,2023-12-11,20231211
MT1M20169CL45238,in stock,new,日常logo刺繡寬版襯衫,粉,品牌logo刺繡設計/ 兩側開岔設計/ 挺版襯衫布料,https://pic.pzcdn.tw/pazzo/ProductBasic/32ab769f-fba0-4138-b320-134d71568702.jpg,https://www.pazzo.com.tw/market/n/20169?c=45238,690.00 TWD,690.00 TWD,PAZZO,1604,Y,N,2023-03-27,20220919
MT1M18366CL45648,in stock,new,& IN THING 休閒針織短褲,麻灰,不厚重針織/顯瘦剪裁/可跟上衣配套,https://pic.pzcdn.tw/pazzo/ProductBasic/4012c097-f669-426c-958f-51f7d4d1f669.jpg,https://www.pazzo.com.tw/market/n/18366?c=45648,690.00 TWD,590.00 TWD,PAZZO,1604,Y,N,2022-11-05,20210315
MT1M19317CL43305,in stock,new,MORE REAL 圈圈紗針織上衣,米,舒適柔軟針織/無肩線設計/百搭圓領,https://pic.pzcdn.tw/pazzo/ProductBasic/47c634e1-c688-45ee-a093-780cfd37efec.jpg,https://www.pazzo.com.tw/market/n/19317?c=43305,1190.00 TWD,1190.00 TWD,PAZZO,1604,N,N,2022-09-30,20211213
MT1M19242CL43131,in stock,new,NEW APPEAR 大學TEE,麻灰,台灣製造PAZZO自訂開發布料/UNSIEX款/厚絨面料親膚柔棉/袖子特殊剪接,https://pic.pzcdn.tw/pazzo/ProductBasic/1a9071cd-a95e-4223-bc5a-8d7d39314450.jpg,https://www.pazzo.com.tw/market/n/19242?c=43131,890.00 TWD,590.00 TWD,PAZZO,1604,N,N,2023-09-10,20211018
MT1M21483CL48366,in stock,new,PAZZO BEAUTY 彩妝刷具組,杏色,PAZZO BEAUTY /五入彩妝刷具/方便隨身攜帶/美化臉部/柔軟杜邦纖維毛,https://pic.pzcdn.tw/pazzo/ProductBasic/1dd4cd7d-c3d5-47cc-9cb5-90143a44d944.jpg,https://www.pazzo.com.tw/market/n/21483?c=48366,990.00 TWD,690.00 TWD,PAZZO,1604,N,N,2024-06-20,20240620
MT1M22268CL50403,in stock,new,MIT PEANUTS 厚磅圓領印花TEE,鐵灰,台灣製造/PAZZO自訂開發全棉厚磅布料/印花設計,https://pic.pzcdn.tw/pazzo/ProductBasic/227cd75c-3c58-43db-b19a-bd68ee1ddb06.jpg,https://www.pazzo.com.tw/market/n/22268?c=50403,790.00 TWD,790.00 TWD,PAZZO,1604,N,N,2024-05-27,20240527
